적용대상,참고관계,층구간,표본수,잠재조망각합,현재조망각합,차폐각합,차폐계수
2구역,3구역→2구역,1-20층,2539,146495,98262,48233,0.3292
2구역,3구역→2구역,21-40층,2116,135767,98102,37665,0.2774
2구역,3구역→2구역,41-60층,743,62538,48207,14331,0.2292
2구역,3구역→2구역,61층 이상,24,3597,3381,216,0.0601
2구역,3구역→2구역,전체,5422,348397,247952,100445,0.2883
5구역,4구역→5구역,1-20층,868,62002,40130,21872,0.3528
5구역,4구역→5구역,21-40층,576,45637,31828,13809,0.3026
5구역,4구역→5구역,41-60층,204,21268,17795,3473,0.1633
5구역,4구역→5구역,61층 이상,48,6620,6067,553,0.0835
5구역,4구역→5구역,전체,1696,135527,95820,39707,0.293
