구역,동,평형,층,층구간,현재조망각,현재조망률,미래차폐위험각,적용차폐계수,감산각,장기조정각,장기조정조망률,현재구간,장기조정구간
2구역,101,41,1,1-20층,148,82.22,53,55.17,29.24,118.76,65.98,81-90%,61-70%
2구역,101,41,2,1-20층,148,82.22,53,55.17,29.24,118.76,65.98,81-90%,61-70%
2구역,101,41,3,1-20층,148,82.22,53,55.17,29.24,118.76,65.98,81-90%,61-70%
2구역,101,41,4,1-20층,148,82.22,53,55.17,29.24,118.76,65.98,81-90%,61-70%
2구역,101,41,5,1-20층,148,82.22,53,55.17,29.24,118.76,65.98,81-90%,61-70%
2구역,101,41,6,1-20층,148,82.22,53,55.17,29.24,118.76,65.98,81-90%,61-70%
2구역,101,41,7,1-20층,148,82.22,53,55.17,29.24,118.76,65.98,81-90%,61-70%
2구역,101,41,8,1-20층,148,82.22,53,55.17,29.24,118.76,65.98,81-90%,61-70%
2구역,101,41,9,1-20층,148,82.22,53,55.17,29.24,118.76,65.98,81-90%,61-70%
2구역,101,41,10,1-20층,148,82.22,53,55.17,29.24,118.76,65.98,81-90%,61-70%
2구역,101,41,11,1-20층,148,82.22,53,55.17,29.24,118.76,65.98,81-90%,61-70%
2구역,101,41,12,1-20층,148,82.22,53,55.17,29.24,118.76,65.98,81-90%,61-70%
2구역,101,41,13,1-20층,148,82.22,53,55.17,29.24,118.76,65.98,81-90%,61-70%
2구역,101,41,14,1-20층,148,82.22,53,55.17,29.24,118.76,65.98,81-90%,61-70%
2구역,101,41,15,1-20층,148,82.22,53,55.17,29.24,118.76,65.98,81-90%,61-70%
2구역,101,41,16,1-20층,148,82.22,53,55.17,29.24,118.76,65.98,81-90%,61-70%
2구역,101,41,17,1-20층,148,82.22,53,55.17,29.24,118.76,65.98,81-90%,61-70%
2구역,101,41,18,1-20층,148,82.22,53,55.17,29.24,118.76,65.98,81-90%,61-70%
2구역,101,41,19,1-20층,148,82.22,53,55.17,29.24,118.76,65.98,81-90%,61-70%
2구역,101,"55,56",1,1-20층,130,72.22,55,55.17,30.34,99.66,55.36,71-80%,51-60%
2구역,101,"55,56",2,1-20층,130,72.22,55,55.17,30.34,99.66,55.36,71-80%,51-60%
