구역,구분,조망률구간,세대수,비율
2구역,현재,10% 이하,269,10.04
2구역,현재,10-20%,638,23.81
2구역,현재,21-30%,439,16.39
2구역,현재,31-40%,445,16.61
2구역,현재,41-50%,383,14.3
2구역,현재,51-60%,194,7.24
2구역,현재,61-70%,53,1.98
2구역,현재,71-80%,42,1.57
2구역,현재,81-90%,167,6.23
2구역,현재,91-100%,34,1.27
2구역,현재,100% 이상,15,0.56
2구역,장기조정,10% 이하,305,11.38
2구역,장기조정,10-20%,743,27.73
2구역,장기조정,21-30%,717,26.76
2구역,장기조정,31-40%,372,13.89
2구역,장기조정,41-50%,212,7.91
2구역,장기조정,51-60%,83,3.1
2구역,장기조정,61-70%,68,2.54
2구역,장기조정,71-80%,114,4.26
2구역,장기조정,81-90%,42,1.57
2구역,장기조정,91-100%,8,0.3
2구역,장기조정,100% 이상,15,0.56
3구역,현재,10% 이하,1265,23.33
3구역,현재,10-20%,1443,26.61
3구역,현재,21-30%,1040,19.18
3구역,현재,31-40%,457,8.43
3구역,현재,41-50%,290,5.35
3구역,현재,51-60%,188,3.47
3구역,현재,61-70%,320,5.9
3구역,현재,71-80%,115,2.12
3구역,현재,81-90%,182,3.36
3구역,현재,91-100%,38,0.7
3구역,현재,100% 이상,84,1.55
3구역,장기조정,10% 이하,1265,23.33
3구역,장기조정,10-20%,1443,26.61
3구역,장기조정,21-30%,1040,19.18
3구역,장기조정,31-40%,457,8.43
3구역,장기조정,41-50%,290,5.35
3구역,장기조정,51-60%,188,3.47
3구역,장기조정,61-70%,320,5.9
3구역,장기조정,71-80%,115,2.12
3구역,장기조정,81-90%,182,3.36
3구역,장기조정,91-100%,38,0.7
3구역,장기조정,100% 이상,84,1.55
4구역,현재,10% 이하,170,10.02
4구역,현재,10-20%,441,26
4구역,현재,21-30%,539,31.78
4구역,현재,31-40%,143,8.43
4구역,현재,41-50%,65,3.83
4구역,현재,51-60%,63,3.71
4구역,현재,61-70%,21,1.24
4구역,현재,71-80%,48,2.83
4구역,현재,81-90%,48,2.83
4구역,현재,91-100%,142,8.37
4구역,현재,100% 이상,16,0.94
4구역,장기조정,10% 이하,170,10.02
4구역,장기조정,10-20%,441,26
4구역,장기조정,21-30%,539,31.78
4구역,장기조정,31-40%,143,8.43
4구역,장기조정,41-50%,65,3.83
4구역,장기조정,51-60%,63,3.71
4구역,장기조정,61-70%,21,1.24
4구역,장기조정,71-80%,48,2.83
4구역,장기조정,81-90%,48,2.83
4구역,장기조정,91-100%,142,8.37
4구역,장기조정,100% 이상,16,0.94
5구역,현재,10% 이하,241,15.81
5구역,현재,10-20%,291,19.09
5구역,현재,21-30%,121,7.94
5구역,현재,31-40%,315,20.67
5구역,현재,41-50%,221,14.5
5구역,현재,51-60%,19,1.25
5구역,현재,61-70%,2,0.13
5구역,현재,71-80%,145,9.51
5구역,현재,81-90%,137,8.99
5구역,현재,91-100%,15,0.98
5구역,현재,100% 이상,17,1.12
5구역,장기조정,10% 이하,307,20.14
5구역,장기조정,10-20%,265,17.39
5구역,장기조정,21-30%,352,23.1
5구역,장기조정,31-40%,229,15.03
5구역,장기조정,41-50%,37,2.43
5구역,장기조정,51-60%,19,1.25
5구역,장기조정,61-70%,165,10.83
5구역,장기조정,71-80%,113,7.41
5구역,장기조정,81-90%,20,1.31
5구역,장기조정,91-100%,0,0
5구역,장기조정,100% 이상,17,1.12
