구역,동,평형,층,조망각도,조망률,구간
2구역,101,41,1,148,82.22,81-90%
2구역,101,41,2,148,82.22,81-90%
2구역,101,41,3,148,82.22,81-90%
2구역,101,41,4,148,82.22,81-90%
2구역,101,41,5,148,82.22,81-90%
2구역,101,41,6,148,82.22,81-90%
2구역,101,41,7,148,82.22,81-90%
2구역,101,41,8,148,82.22,81-90%
2구역,101,41,9,148,82.22,81-90%
2구역,101,41,10,148,82.22,81-90%
2구역,101,41,11,148,82.22,81-90%
2구역,101,41,12,148,82.22,81-90%
2구역,101,41,13,148,82.22,81-90%
2구역,101,41,14,148,82.22,81-90%
2구역,101,41,15,148,82.22,81-90%
2구역,101,41,16,148,82.22,81-90%
2구역,101,41,17,148,82.22,81-90%
2구역,101,41,18,148,82.22,81-90%
2구역,101,41,19,148,82.22,81-90%
2구역,101,"55,56",1,130,72.22,71-80%
2구역,101,"55,56",2,130,72.22,71-80%
2구역,101,"55,56",3,130,72.22,71-80%
2구역,101,"55,56",4,130,72.22,71-80%
2구역,101,"55,56",5,130,72.22,71-80%
2구역,101,"55,56",6,130,72.22,71-80%
2구역,101,"55,56",7,130,72.22,71-80%
2구역,101,"55,56",8,130,72.22,71-80%
2구역,101,"55,56",9,130,72.22,71-80%
2구역,101,"55,56",10,130,72.22,71-80%
2구역,101,"55,56",11,130,72.22,71-80%
2구역,101,"55,56",12,130,72.22,71-80%
2구역,101,"55,56",13,130,72.22,71-80%
2구역,101,"55,56",14,130,72.22,71-80%
2구역,101,"55,56",15,130,72.22,71-80%
2구역,101,"55,56",16,130,72.22,71-80%
2구역,101,"55,56",17,130,72.22,71-80%
2구역,101,"55,56",18,130,72.22,71-80%
2구역,101,"55,56",19,130,72.22,71-80%
2구역,102,70,1,101,56.11,51-60%
2구역,102,70,2,101,56.11,51-60%
2구역,102,70,3,101,56.11,51-60%
2구역,102,70,4,101,56.11,51-60%
2구역,102,70,5,101,56.11,51-60%
2구역,102,70,6,101,56.11,51-60%
2구역,102,70,7,101,56.11,51-60%
2구역,102,70,8,101,56.11,51-60%
2구역,102,70,9,101,56.11,51-60%
2구역,102,70,10,101,56.11,51-60%
2구역,102,70,11,101,56.11,51-60%
2구역,102,70,12,101,56.11,51-60%
2구역,102,70,13,101,56.11,51-60%
2구역,102,70,14,101,56.11,51-60%
2구역,102,70,15,101,56.11,51-60%
2구역,102,70,16,101,56.11,51-60%
2구역,102,70,17,101,56.11,51-60%
2구역,102,70,18,102,56.67,51-60%
2구역,102,70,19,102,56.67,51-60%
2구역,102,70,20,102,56.67,51-60%
2구역,102,70,21,153,85,81-90%
2구역,102,70,22,153,85,81-90%
2구역,102,70,23,153,85,81-90%
2구역,102,70,24,153,85,81-90%
2구역,102,70,25,153,85,81-90%
2구역,102,70,26,153,85,81-90%
2구역,102,70,27,153,85,81-90%
2구역,102,70,28,153,85,81-90%
2구역,102,70,29,153,85,81-90%
2구역,102,70,30,153,85,81-90%
2구역,102,70,31,153,85,81-90%
2구역,102,70,32,153,85,81-90%
2구역,102,70,33,153,85,81-90%
2구역,102,70,34,153,85,81-90%
2구역,102,70,35,153,85,81-90%
2구역,102,70,36,153,85,81-90%
2구역,102,70,37,153,85,81-90%
2구역,102,70,38,153,85,81-90%
2구역,102,70,39,153,85,81-90%
2구역,102,70,40,153,85,81-90%
2구역,102,70,41,154,85.56,81-90%
2구역,102,70,42,154,85.56,81-90%
2구역,102,70,43,154,85.56,81-90%
2구역,102,70,44,154,85.56,81-90%
2구역,102,"55,56",1,113,62.78,61-70%
2구역,102,"55,56",2,113,62.78,61-70%
2구역,102,"55,56",3,113,62.78,61-70%
2구역,102,"55,56",4,113,62.78,61-70%
2구역,102,"55,56",5,113,62.78,61-70%
2구역,102,"55,56",6,113,62.78,61-70%
2구역,102,"55,56",7,113,62.78,61-70%
2구역,102,"55,56",8,113,62.78,61-70%
2구역,102,"55,56",9,113,62.78,61-70%
2구역,102,"55,56",10,113,62.78,61-70%
2구역,102,"55,56",11,113,62.78,61-70%
2구역,102,"55,56",12,113,62.78,61-70%
2구역,102,"55,56",13,113,62.78,61-70%
2구역,102,"55,56",14,113,62.78,61-70%
2구역,102,"55,56",15,113,62.78,61-70%
2구역,102,"55,56",16,113,62.78,61-70%
2구역,102,"55,56",17,113,62.78,61-70%
2구역,102,"55,56",18,113,62.78,61-70%
2구역,102,"55,56",19,113,62.78,61-70%
2구역,102,"55,56",20,113,62.78,61-70%
2구역,102,"55,56",21,153,85,81-90%
2구역,102,"55,56",22,153,85,81-90%
2구역,102,"55,56",23,153,85,81-90%
2구역,102,"55,56",24,153,85,81-90%
2구역,102,"55,56",25,153,85,81-90%
2구역,102,"55,56",26,153,85,81-90%
2구역,102,"55,56",27,153,85,81-90%
2구역,102,"55,56",28,153,85,81-90%
